Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Year of Funding
Bombay Shaving,2014.533333,Bangalore,Ecommerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000,Series A,2019
Ruangguru,2014,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000,Series C,2019
Eduisfun,2014.533333,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000,Fresh funding,2019
HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000,Series D,2019
Nu Genes,2004,Telangana,Agritech,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000,Series A,2019
FlytBase,2014.533333,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,43330301.3,Series A,2019
Finly,2014.533333,Bangalore,Saas,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",43330301.3,Series A,2019
Kratikal,2013,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000,Pre series A,2019
Quantiphi,2014.533333,Bangalore,Ai & tech,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000,Series A,2019
Lenskart,2010,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000,Series G,2019
Cub McPaws,2010,Mumbai,E-commerce & ar,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,43330301.3,Series A,2019
Appnomic,2014.533333,Bangalore,Saas,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000,Series A,2019
Kaleidofin,2018,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000,Series A,2019
JobSquare,2019,Ahmedabad,Hr tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500,Series A,2019
Open Secret,2014.533333,Bangalore,Food tech,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,43330301.3,Series A,2019
LivFin,2017,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000,Series A,2019
Byju's,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000,Series A,2019
Zest Money,2015,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000,Series B,2019
Witblox,2014,Bangalore,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700,Series A,2019
Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",43330301.3,Pre series A,2019
SalaryFits,2015,Bangalore,Fintech,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000,Series A,2019
Pristyn Care,2018,Bangalore,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000,Series B,2019
Springboard,2013,Bangalore,Edtech,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000,Post series A,2019
DROR Labs Pvt. Ltd,2018,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,43330301.3,Series A,2019
Medlife,2014,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000,Series A,2019
Seekify,2019,Delhi,Saas,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000,Seed funding,2019
Toffee Insurance,2017,Haryana,Insurance technology,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000,Series A,2019
Fireflies .ai,2014.533333,Bangalore,Ai,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000,Series A,2019
HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000,Series C,2019
Bijak,2019,Bangalore,Agritech,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000,Seed fund,2019
Licious,2014.533333,Bangalore,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000,Series E,2019
truMe,2014.533333,Bangalore,Iot,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000,Series A,2019
Pumpkart,2014,Chandigarh,E-marketplace,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,43330301.3,Series A,2019
Asteria Aerospace,2011,Bangalore,Robotics & ai,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000,Series A,2019
Rivigo,2014,Bangalore,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000,Series F,2019
HappyEasyGo,2017,Gurugram,Travel,Online flight booking,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000,Series B+,2019
Zetwerk,2018,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000,Series B,2019
Observe.AI,2014.533333,Bangalore,Ai,Creates a voice AI platform,Swapnil,Scale Venture Partners,26000000,Series A,2019
Freshokartz,2016,Jaipur,E-marketplace,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000,Pre series A,2019
Lil’ Goodness and sCool meal,2014.533333,Bangalore,Food & nutrition,It empowers moms to provide the best of foods to their Lil' ones,"Vivek Gupta, Abhay Hanjura","Sajan Pillai, Muthu Krishnan,",400000,Series A,2019
Trell,2016,Bangalore,Social media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000,Pre series A,2019
VMate,2014.533333,Bangalore,Edtech,A short video platform,"Vivek Gupta, Abhay Hanjura",Alibaba,100000000,Series A,2019
Bombay Shirt Company,2012,Mumbai,E-commerce,Online custom shirt brand,Akshay Narvekar,Lightbox Ventures,8000000,Series A,2019
Slintel,2016,Bangalore,Saas,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000,Series A,2019
MyGameMate,2014.533333,Bangalore,E-sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000,Series A,2019
Afinoz,2014.533333,Noida,Fintech,Online financial marketplace for customized rate quotes on loans and investment products in India,Rachna Suneja,Fintech innovation lab,43330301.3,Series A,2019
Rein Games,2014.533333,Noida,Technology,"It develops, publishes and distributes games across various platforms","Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000,Pre series A,2019
Ecozen,2014.533333,Pune,Agritech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000,Series A,2019
Box8,2011,Mumbai,Foodtech,Enables to order food online,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000,Series A,2019
Awign Enterprises,2016,Bangalore,Edtech,It supplies workforce to the economy,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000,Series A,2019
Purplle,2012,Mumbai,Cosmetics,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000,Series C,2019
Freightwalla,2017,Mumbai,B2b,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000,Series A,2019
TapChief,2016,Bangalore,Edtech,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000,Pre series A,2019
eJOHRI,2015,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000,Pre series A,2019
Ninjacart,2015,Bangalore,B2b supply chain,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",43330301.3,Series A,2019
Binca Games,2014,Mumbai,Games,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,43330301.3,Series A,2019
KredX,2014.533333,Bangalore,Edtech,Invoice discounting platform,Manish Kumar,Tiger Global Management,26000000,Series B,2019
m.Paani,2014.533333,Mumbai,Edtech,It digitizes and organises local retailers,Akanksha Hazari,"AC Ventures, Henkel",5500000,Series A,2019
Origo,2010,Gurugram,Agritech,It provides post-harvest management services for agricultural commodities,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000,Series A,2019
WishADish,2014.533333,Delhi,Food & tech,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000,Series A,2019
Ecom Express,2012,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000,Series A,2019
Stanza Living,2017,Delhi,Accomodation,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000,Series A,2019
PiBeam,2014.533333,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000,Series A,2019
Euler Motors,2014.533333,Delhi,Automotive tech,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000,Series A,2019
Moms Co,2014.533333,New delhi,E-commerce,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000,Series B,2019
Cubical Labs,2013,Bangalore,Iot,Home automation solution provider,"Dhruv Ratra, Swati Vyas",Rockstud Capital,43330301.3,Series B,2019
Lawyered,2015,Delhi,Legal tech,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000,Series A,2019
Cuemath,2013,Bangalore,Edtech,It helps students to learn math online,Manan Khurma,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000,Series A,2019
Licious,2015,Bangalore,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000,Series D,2019
Nivesh.com,2016,Noida,Mutual funds,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000,Series A,2019
Zebu,2015,Bangalore,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000,Seed round,2019
Smart Institute,2014.533333,Surat,Edtech,A platform to learn online,"Vivek Gupta, Abhay Hanjura",HNI investors,1500000,Series A,2019
CarDekho,2008,Jaipur,Automobile,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000,Series D,2019
Shadowfax,2015,Bangalore,Logistics,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000,Series D,2019
Credr,2014,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000,Series A,2019
Sportido,2015,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",43330301.3,Series B,2019
Phable,2018,Bangalore,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000,Series A,2019
Sarva,2014.533333,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000,Series A,2019
IndyFint,2019,Bangalore,Virtual banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000,Series A,2019
Zolostays,2015,Bangalore,Accomodation,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000,Series A,2019
Ola,2010,Bangalore,Transportation,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000,Series A,2019
Zoomcar,2013,Bangalore,Transport & rentals,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000,Series A,2019
Kratikal,2014.533333,Uttar pradesh,Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000,Pre-series A,2019
Froogal,2014.533333,Hyderabad,Marketing & customer loyalty,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000,Pre series A,2019
Infra.Market,2014.533333,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000,Series A,2019
Oyo,2013,Gurugram,Hospitality,Provides rooms for comfortable stay,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000,Series A,2019
GoMechanic,2016,Delhi,Automobile & technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000,Series B,2019
Spinny,2015,Delhi,Automobile,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000,Series A,2019
Ess Kay Fincorp,2014.533333,Rajasthan,Banking,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000,Series A,2019
